invalid2validSMILE: anticytohelmintic;antibacterial;antiviral;cytosecticidal	anthelmintic;antibacterial;antiviral;insecticidal
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: inhibitor;toxic	inhibitor;toxic
invalid2validSMILE: antibacterial;antimalarial;antiviral	antibacterial;antimalarial;antiviral
invalid2validSMILE: antibacterial;antifungal	antibacterial;antifungal
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterial;	antibacterial
invalid2validSMILE: antibacterial;antiviral	antibacterial;antiviral
invalid2validSMILE: antiprotozoal;cytotoxic	antiprotozoal;cytotoxic
invalid2validSMILE: antibacterial;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antifungal	antifungal
invalid2validSMILE: cytotoxic	cytotoxic
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterial;antiprotozoal;cytotoxic	antibacterial;antiprotozoal;cytotoxic
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: siderophore	siderophore
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: anti	inhibitor
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: anticytotoxic	cytotoxic
invalid2validSMILE: antibacterial;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: antibacterial;antifungal;antiviral;cytotoxic;insecticidal	antibacterial;antifungal;antiviral;cytotoxic;insecticidal
invalid2validSMILE: antibacterial;antifungal;cytoprotozoal;cytotoxic	antibacterial;antifungal;antiprotozoal;cytotoxic
invalid2validSMILE: antibacterial;antifungal;cytotoxic;inment	antibacterial;antifungal;cytotoxic;pigment
invalid2validSMILE: antibacterial;antifungal;antimalal;cytotoxic	antibacterial;antifungal;antiviral;cytotoxic
invalid2validSMILE: siderophore	siderophore
invalid2validSMILE: antibacterial;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterial;antiprotozoal;antipro;antiprotozoal	antibacterial;antiprotozoal;antibacterial;antiprotozoal
invalid2validSMILE: inhibitor	inhibitor
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: anticytotoxic	cytotoxic
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterial;cytotoxic;siderophore;surfactant	antibacterial;cytotoxic;siderophore;surfactant
invalid2validSMILE: anticytotoxic	cytotoxic
invalid2validSMILE: antibacterial;siderophore	antibacterial;siderophore
invalid2validSMILE: antibacterial;antifungal	antibacterial;antifungal
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterialantifungal;cytotoxic	antibacterial;antifungal;cytotoxic
invalid2validSMILE: cytotoxic	cytotoxic
invalid2validSMILE: siderophore	siderophore
invalid2validSMILE: antibacterialantifungal	antibacterial;antifungal
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antifungal	antifungal
invalid2validSMILE: cytotoxic	cytotoxic
invalid2validSMILE: antibacterial;antifungal	antibacterial;antifungal
invalid2validSMILE: antibacterialal;antifactant	antifungal;surfactant
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterial;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antibacterial;antiviralcytotoxic	antibacterial;antifungal;cytotoxic
invalid2validSMILE: antivir;antiviralcytotoxic	antibacterial;antiviral;cytotoxic
invalid2validSMILE: neurotoxic	neurotoxic
invalid2validSMILE: anti	inhibitor
invalid2validSMILE: anticytotoxic;cytotoxic	cytotoxic;cytotoxic
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antifungal;cytotoxic	antifungal;cytotoxic
invalid2validSMILE: antibacterialantiviral	antibacterial;antiviral
invalid2validSMILE: antifactant	surfactant
invalid2validSMILE: antibacterialcytotoxicantibacterial;cytotoxic	antibacterial;cytotoxic;antibacterial;cytotoxic
invalid2validSMILE: antifungal	antifungal
invalid2validSMILE: antifung;	antibacterial
invalid2validSMILE: cytotoxic	cytotoxic
invalid2validSMILE: osmolytic;cell protectant	osmolytic;cell protectant
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: antitoxic	phytotoxic
invalid2validSMILE: cytotoxicinhibitor	cytotoxic;inhibitor
invalid2validSMILE: antibacterial;cytotoxic;inhibitor	antibacterial;cytotoxic;inhibitor
invalid2validSMILE: antibacterialsidal;antiplasmodial	antiparasidal;antiplasmodial
invalid2validSMILE: inhibitor	inhibitor
invalid2validSMILE: antifungal;insector	antifungal;inhibitor
invalid2validSMILE: antibacterial	antibacterial
invalid2validSMILE: siderophore	siderophore
invalid2validSMILE: anti;surfactant	antioxidant;surfactant
invalid2validSMILE: antibacterial;cytotoxic	antibacterial;cytotoxic
invalid2validSMILE: antibacterial;cytofungal;cytotoxic	antibacterial;antifungal;cytotoxic
invalid2validSMILE: antivir;antiviral	antibacterial;antiviral
invalid2validSMILE: cytotoxic	cytotoxic
